,black,boy,read,math,star,freelun,teacher_experience,test_score,sc_freelun,sc_black
1,0,0,568.0,579.0,1,0,3.0,1147.0,0,0
2,1,0,588.0,579.0,0,0,4.0,1167.0,0,0
7,0,0,573.0,550.0,0,0,13.0,1123.0,0,0
9,0,1,596.0,590.0,0,0,8.0,1186.0,0,0
10,0,1,614.0,639.0,0,0,31.0,1253.0,0,0
11,0,1,608.0,603.0,1,1,14.0,1211.0,1,0
12,0,1,608.0,579.0,0,1,9.0,1187.0,0,0
14,0,0,586.0,603.0,0,0,4.0,1189.0,0,0
15,0,0,539.0,590.0,1,0,28.0,1129.0,0,0
17,1,0,520.0,540.0,0,1,2.0,1060.0,0,0
20,0,0,596.0,587.0,0,1,18.0,1183.0,0,0
22,1,0,569.0,584.0,1,1,14.0,1153.0,1,1
24,0,0,608.0,546.0,1,0,1.0,1154.0,0,0
27,0,1,622.0,615.0,0,0,14.0,1237.0,0,0
28,0,1,552.0,574.0,0,0,8.0,1126.0,0,0
31,0,1,659.0,632.0,1,0,10.0,1291.0,0,0
32,0,1,559.0,590.0,1,0,4.0,1149.0,0,0
33,0,1,586.0,561.0,0,0,9.0,1147.0,0,0
36,1,0,559.0,543.0,0,1,10.0,1102.0,0,0
37,0,0,566.0,552.0,0,1,15.0,1118.0,0,0
38,0,0,643.0,568.0,1,0,6.0,1211.0,0,0
39,0,1,577.0,593.0,1,1,18.0,1170.0,1,0
42,0,0,481.0,500.0,0,1,19.0,981.0,0,0
44,1,1,596.0,620.0,0,1,40.0,1216.0,0,0
47,0,1,549.0,587.0,1,0,9.0,1136.0,0,0
48,0,1,542.0,530.0,0,1,20.0,1072.0,0,0
49,0,0,568.0,548.0,0,0,21.0,1116.0,0,0
51,1,1,582.0,611.0,0,1,35.0,1193.0,0,0
53,0,0,669.0,659.0,0,0,19.0,1328.0,0,0
54,0,0,611.0,603.0,0,0,1.0,1214.0,0,0
56,1,1,555.0,611.0,0,1,2.0,1166.0,0,0
57,1,1,577.0,577.0,0,1,31.0,1154.0,0,0
62,1,1,539.0,533.0,0,1,13.0,1072.0,0,0
64,0,1,526.0,522.0,0,1,13.0,1048.0,0,0
66,1,1,515.0,525.0,0,0,22.0,1040.0,0,0
67,1,0,588.0,517.0,1,0,15.0,1105.0,0,1
74,1,1,503.0,515.0,0,1,16.0,1018.0,0,0
76,0,0,596.0,572.0,1,1,10.0,1168.0,1,0
77,0,0,579.0,557.0,1,1,22.0,1136.0,1,0
78,0,0,577.0,545.0,1,1,23.0,1122.0,1,0
80,0,1,637.0,620.0,1,0,14.0,1257.0,0,0
81,1,1,555.0,615.0,0,1,1.0,1170.0,0,0
83,0,0,659.0,626.0,0,0,2.0,1285.0,0,0
88,0,0,618.0,639.0,0,1,15.0,1257.0,0,0
92,0,1,650.0,699.0,1,0,15.0,1349.0,0,0
93,0,1,611.0,563.0,0,1,8.0,1174.0,0,0
94,1,0,526.0,504.0,0,1,12.0,1030.0,0,0
96,0,0,499.0,492.0,1,1,28.0,991.0,1,0
97,1,0,579.0,620.0,0,0,35.0,1199.0,0,0
99,0,0,560.0,528.0,1,0,25.0,1088.0,0,0
100,0,1,549.0,572.0,0,0,11.0,1121.0,0,0
101,0,0,622.0,577.0,1,0,17.0,1199.0,0,0
106,0,1,515.0,500.0,0,0,15.0,1015.0,0,0
108,0,0,591.0,582.0,0,0,19.0,1173.0,0,0
112,0,0,643.0,570.0,0,0,19.0,1213.0,0,0
116,1,1,547.0,535.0,0,1,4.0,1082.0,0,0
118,0,0,588.0,587.0,0,0,8.0,1175.0,0,0
119,1,0,542.0,512.0,0,1,16.0,1054.0,0,0
122,0,0,566.0,574.0,0,1,8.0,1140.0,0,0
123,1,1,529.0,518.0,0,1,18.0,1047.0,0,0
124,1,0,573.0,659.0,0,1,4.0,1232.0,0,0
126,0,1,564.0,561.0,0,0,4.0,1125.0,0,0
129,0,0,554.0,514.0,0,1,15.0,1068.0,0,0
130,0,1,650.0,599.0,1,0,12.0,1249.0,0,0
136,1,0,533.0,541.0,1,0,2.0,1074.0,0,1
137,0,1,555.0,587.0,0,0,19.0,1142.0,0,0
138,0,1,627.0,639.0,0,0,4.0,1266.0,0,0
140,1,1,554.0,517.0,0,1,11.0,1071.0,0,0
142,0,1,593.0,568.0,1,0,15.0,1161.0,0,0
150,0,1,579.0,639.0,0,1,8.0,1218.0,0,0
153,0,1,637.0,587.0,0,0,33.0,1224.0,0,0
158,0,1,614.0,639.0,0,0,22.0,1253.0,0,0
159,1,0,523.0,518.0,0,1,9.0,1041.0,0,0
160,1,1,544.0,579.0,0,1,9.0,1123.0,0,0
161,1,1,555.0,563.0,0,1,2.0,1118.0,0,0
163,0,1,614.0,699.0,0,0,9.0,1313.0,0,0
164,0,1,650.0,639.0,0,0,13.0,1289.0,0,0
165,1,1,604.0,639.0,0,0,1.0,1243.0,0,0
166,0,1,643.0,632.0,1,0,12.0,1275.0,0,0
167,0,1,659.0,659.0,1,1,12.0,1318.0,1,0
168,1,1,568.0,599.0,0,1,0.0,1167.0,0,0
171,1,1,533.0,572.0,1,1,14.0,1105.0,1,1
172,0,1,618.0,574.0,1,0,15.0,1192.0,0,0
175,1,1,523.0,522.0,1,1,12.0,1045.0,1,1
176,1,0,588.0,538.0,0,0,16.0,1126.0,0,0
177,1,1,541.0,577.0,0,1,31.0,1118.0,0,0
